Date,Total
1992,7975
1993,8179
1994,8380
1995,8094
1996,7523
1997,7525
1998,7524
1999,7557
2000,7599
2001,7506
2002,7593
2003,7527
2004,7434
2005,7511
2006,7726
2007,7942
2008,8092
2009,8200
2010,8102
2011,8575
2012,8693
2013,8755
2014,8918
2015,8969
